,State,Year,1_Include the treatment of pain?,3_max_amount_prescription,3_1_max_amount_prescriptions_det,4_prescrib_duration,4_1_prescrib_duration_det,5_unprof_excessive_Rx,5_1_excess_Rx_factors,8_pracitioner_education,9_hc_facility_methods,10_integrative_care,11_individual_care,14_risk_benefit_before,16_PMPdata_submit,16_1_PMPdata_timeframe,17_data_other state PMP,18_PMP_pract_registration,19_prac_checkPMP,20_PMP_teach,21PMP_eval_outcomes,key2,Population,percent_male,percent_female,under_18,18-24,25-44,45-64,over_65,Mean_income,Unemployment_rate,County,FIPS County Code,Prescribing Rate,outcome1_avg,outcome2_med,outcome3_medbyyear
85,FL,2013,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2013-12097,299304,0.491911234,0.508088766,0.254597332,0.099129982,0.281767033,0.243955978,0.120549675,54987,7.9,Osceola,12097,68.5,1,1,1
86,FL,2013,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2013-12095,1227642,0.491740263,0.508259737,0.228800416,0.119147113,0.302242022,0.243948154,0.105862295,66709,6.8,Orange,12095,54.2,1,0,1
87,FL,2013,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2013-12117,435531,0.483660176,0.516339824,0.217931674,0.09509082,0.272322751,0.278315436,0.136339319,77098,6.7,Seminole,12117,64.5,1,0,1
88,FL,2013,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2013-12111,285370,0.488611277,0.511388723,0.212482041,0.077877843,0.223902302,0.266604759,0.219133055,58639,10,St. Lucie,12111,73.1,0,0,0
89,FL,2013,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2013-12113,160389,0.51131312,0.48868688,0.227509368,0.08675782,0.264868538,0.280175074,0.140689199,71126,6.4,Santa Rosa,12113,121.6,1,0,1
90,FL,2013,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2013-12071,659920,0.489509334,0.510490666,0.188466784,0.073911989,0.214486604,0.265535216,0.257599406,67429,7.3,Lee,12071,70.1,1,1,1
91,FL,2013,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2013-12015,164694,0.487267296,0.512732704,0.133593209,0.055812598,0.153672872,0.287156788,0.369764533,57495,8,Charlotte,12015,83.1,1,1,1
92,FL,2013,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2013-12119,106908,0.510242451,0.489757549,0.078160662,0.035647473,0.131065963,0.250346092,0.504779811,59959,9.3,Sumter,12119,72.2,0,0,0
93,FL,2013,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2013-12121,43584,0.523517805,0.476482195,0.214574156,0.083677496,0.241327093,0.266244493,0.194176762,46650,6.9,Suwannee,12121,93.5,0,0,0
94,FL,2013,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2013-12089,75384,0.491961159,0.508038841,0.207948636,0.076037355,0.226957975,0.299718773,0.18933726,74307,6.7,Nassau,12089,122.9,0,0,0
95,FL,2013,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2013-12073,281893,0.475740795,0.524259205,0.189752849,0.233900806,0.247700369,0.219991273,0.108654702,64947,6.1,Leon,12073,71.4,0,0,1
96,FL,2013,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2013-12077,8358,0.616056473,0.383943527,0.198971046,0.08817899,0.323402728,0.268485284,0.120961953,53639,6.7,Liberty,12077,45,0,0,0
